"Cash on delivery prices","Cash on delivery prices"
"Local destinations","Local destinations"
"Foreign destinations","Foreign destinations"
"Cash on delivery","Cash on delivery"
"Enable Cash on delivery","Enable Cash on delivery"
"IG Cash on delivery prices - Local fee","IG Cash on delivery prices - Local fee"
"Add New Price Rule","Add New Price Rule"
"IG Cash on delivery prices - Foreign fee","IG Cash on delivery prices - Foreign fee"
"From amount","From amount"
"Apply fee","Apply fee"
"Apply from amount","Apply from amount"
"Cash on delivery fee","Cash on delivery fee"
"You will be charged an extra fee of %s","You will be charged an extra fee of %s"
"Fee Amount","Fee Amount"
"Apply","Apply"
"By Percentage","By Percentage"
"By Fixed Amount","By Fixed Amount"